,id,llama3_vote,llama3_voor_prob,llama3_tegen_prob
0,2024D03656, Voor,0.8076058030128479,0.1923942267894745
1,2024D03626, Tegen,0.06990687549114227,0.9300931394100189
2,2024D03663, Voor,0.9999999403953552,0.0
3,2024D03708, Voor,0.8524882793426514,0.14751173555850983
4,2024D03707, Voor,0.9999999403953552,0.0
5,2024D03701, Tegen,0.353102907538414,0.6468971371650696
6,2024D03704, Voor,0.9999999701976776,0.0
7,2024D03691, Voor,1.0,0.0
8,2024D03681, Voor,0.9189789295196533,0.08102106302976608
9,2024D03687, Voor,0.8869512379169464,0.1130487322807312
10,2024D03690, Tegen,0.5827693045139313,0.4172307327389717
11,2024D03662, voor,0.9999999701976776,0.0
12,2024D03671, Tegen,0.4992779940366745,0.5007219463586807
13,2024D03711, Voor,1.0,0.0
14,2024D03645, Voor,0.9999999403953552,0.0
15,2024D03647, Voor,0.9239664971828461,0.07603346556425095
16,2024D03651, Tegen,0.5617439448833466,0.43825608491897583
17,2024D03646, voor,1.0,0.0
18,2024D03648, Voor,0.8898390829563141,0.11016087979078293
19,2024D03644, Voor,1.0,0.0
20,2024D03633, Tegen,0.409990057349205,0.590009868144989
21,2024D03641, Voor,0.8267433047294617,0.17325669527053833
22,2024D03637, Voor,0.9999999850988388,0.0
23,2024D03632, Voor,0.8352610170841217,0.1647389829158783
24,2024D03629, Tegen,0.0,1.0
25,2024D03628, Tegen,0.0,1.0000000298023224
26,2024D03625, Voor,0.6870189756155014,0.3129810094833374
27,2024D03627, Voor,0.9999999552965164,0.0
28,2024D03501, Voor,1.0000000298023224,0.0
29,2024D03624, Tegen,0.0,0.9999999701976776
30,2024D03504, Voor,0.9297308325767517,0.0702691450715065
31,2024D03502, voor,0.9299454689025879,0.0700545534491539
32,2024D03509, Tegen,0.0,1.0000000298023224
33,2024D03623, Voor,0.9062840342521667,0.09371604025363922
34,2024D03507, Tegen,0.0,0.9999999403953552
35,2024D03506, voor,0.8429524302482605,0.15704765915870667
36,2024D03474, Voor,1.0000000298023224,0.0
37,2024D03468, Tegen,0.0,1.0
38,2024D03463, Voor,1.0000000298023224,0.0
39,2024D03470, Tegen,0.24967987835407257,0.7503202259540558
40,2024D03464, Voor,0.9999999701976776,0.0
41,2024D03461, Voor,0.9999999701976776,0.0
42,2024D03467, Tegen,0.0,1.0000000298023224
43,2024D03471, Voor,0.865744411945343,0.13425558805465698
44,2024D03477, Tegen,0.0,0.9999999403953552
45,2024D03472, Voor,0.8829616606235504,0.11703832447528839
46,2024D03459, Voor,0.9164845645427704,0.0835154727101326
47,2024D03465, Voor,0.9999999701976776,0.0
48,2024D03453, Tegen,0.0,1.0
49,2024D03457, Voor,0.9204566180706024,0.0795433446764946
50,2024D03473, Tegen,0.24793778359889984,0.7520622611045837
51,2024D03469, Tegen,0.0,1.0000000298023224
52,2024D03458, Voor,0.9999999701976776,0.0
53,2024D03462, Tegen,0.36796286702156067,0.6320371702313423
54,2024D03454, Tegen,0.0,1.0000000298023224
55,2024D03466, Tegen,0.49051086604595184,0.5094890967011452
56,2024D03476, Tegen,0.0,1.0
57,2024D03452, Voor,0.9999999701976776,0.0
58,2024D03451, Voor,0.9999999552965164,0.0
59,2024D03282, Tegen,0.0,0.9999999850988388
60,2024D02182, Voor,0.9999999403953552,0.0
61,2024D03281, Tegen,0.2614644840359688,0.7385354787111282
62,2024D03175, Tegen,0.1927345171570778,0.807265542447567
63,2024D03174, Tegen,0.4867671877145767,0.5132328495383263
64,2024D03151, Tegen,0.0921093001961708,0.9078906625509262
65,2024D03279, Voor,1.0,0.0
66,2024D03020, voor,1.0,0.0
67,2024D02733, Voor,0.9263257831335068,0.07367424666881561
68,2024D03158, Voor,0.9003196060657501,0.09968040138483047
69,2024D02851, Voor,1.0,0.0
70,2024D03108, Tegen,0.45312777161598206,0.5468721836805344
71,2024D03118, Voor,1.0,0.0
72,2024D03114, voor,0.898417204618454,0.10158272832632065
73,2024D03109, voor,1.0,0.0
74,2024D03113, Tegen,0.5314731597900391,0.46852684766054153
75,2024D03110, voor,1.0000000298023224,0.0
76,2024D03040, Voor,0.9999999701976776,0.0
77,2024D03132, voor,0.8445576131343842,0.15544240176677704
78,2024D03032, Voor,0.8427279591560364,0.15727204084396362
79,2024D03026, Voor,0.9039791822433472,0.09602081030607224
