,id,llama2_rechts,llama2_rechts_voor,llama2_rechts_tegen,llama2_links,llama2_links_voor,llama2_links_tegen
0,2024D03656, Voor,0.6260402798652649,0.3739597797393799, Voor,0.9228616952896118,0.0771382302045822
1,2024D03626, Voor,0.6026333570480347,0.3251483738422394, Voor,1.0,0.0
2,2024D03663, Voor,0.8177669644355774,0.182232990860939, Voor,1.0,0.0
3,2024D03708, Voor,0.6309332251548767,0.3690667450428009, Voor,1.0,0.0
4,2024D03707, Voor,0.6855055689811707,0.3144944608211517, Voor,1.0,0.0
5,2024D03701, Voor,0.6504243016242981,0.3495756685733795, Voor,0.9260659217834472,0.0739341229200363
6,2024D03704, Voor,0.8884052634239197,0.1115947142243385, Voor,1.0,0.0
7,2024D03691, Voor,0.8862359523773193,0.1137640699744224, Voor,1.0,0.0
8,2024D03681, Tegen,0.4665872752666473,0.5334126949310303, Voor,0.8857048749923706,0.1142951324582099
9,2024D03687, Voor,0.5050328373908997,0.4949671924114227, Voor,0.9181767106056212,0.0818233042955398
10,2024D03690, Voor,0.7030006051063538,0.2969993948936462, Voor,1.0,0.0
11,2024D03662, Voor,0.8679330945014954,0.1320668011903762, Voor,1.0,0.0
12,2024D03671, Voor,0.9105584025382996,0.0894417092204094, Voor,1.0,0.0
13,2024D03711, Voor,0.6834681630134583,0.3165318369865417, Voor,1.0,0.0
14,2024D03645, Voor,0.782600462436676,0.2173994928598404, Voor,1.0,0.0
15,2024D03647, Voor,0.6319146752357483,0.3680853247642517, Voor,0.9246923923492432,0.0753076523542404
16,2024D03651, Voor,0.9126339554786682,0.0873660892248153, Voor,1.0,0.0
17,2024D03646, Tegen,0.4934076368808746,0.506592333316803, Voor,0.8850070238113403,0.1149929463863372
18,2024D03648, Voor,0.8237971067428589,0.1762029528617859, Voor,1.0,0.0
19,2024D03644, Voor,0.7866842746734619,0.2133157104253769, Voor,1.0,0.0
20,2024D03633, Voor,0.7797260284423828,0.2202739715576172, Voor,1.0,0.0
21,2024D03641, Tegen,0.4853643178939819,0.5146356821060181, Voor,0.9146547913551332,0.0853452906012535
22,2024D03637, Voor de,0.6494105458259583,0.3505894541740417, Voor,1.0,0.0
23,2024D03632, Voor,0.7155389189720154,0.2844610810279846, Voor,1.0,0.0
24,2024D03629, Voor,0.5643250346183777,0.4356750547885895, Voor,0.9279615879058838,0.0720383301377296
25,2024D03628, Voor,0.766137421131134,0.2338624894618988, Voor,1.0,0.0
26,2024D03625, Voor,0.7417730689048767,0.2582269310951233, Voor,1.0,0.0
27,2024D03627, Voor,0.7680379748344421,0.2319620251655578, Voor,1.0,0.0
28,2024D03501, Voor,0.523786723613739,0.4762133061885834, Voor,0.9058985710144044,0.0941013544797897
29,2024D03624, Voor,0.8674743175506592,0.1325257271528244, Voor,1.0,0.0
30,2024D03504, Voor,0.8005946278572083,0.1994054317474365, Voor,1.0,0.0
31,2024D03502, Voor,0.5773864984512329,0.4226135611534118, Voor,0.9283326268196106,0.0716674402356147
32,2024D03509, I apolog,0.0,0.0, I cannot,0.0,0.0
33,2024D03623, Voor,0.8817393779754639,0.1182605251669883, Voor,1.0,0.0
34,2024D03507, I can,0.0,0.0, Voor,0.5073007941246033,0.1001802384853363
35,2024D03506, Voor,0.7222959995269775,0.2777040004730224, Voor,1.0,0.0
36,2024D03474, Voor,0.8031864166259766,0.1968135237693786, Voor,1.0,0.0
37,2024D03468, Voor,0.6976161599159241,0.3023838102817535, Voor,1.0,0.0
38,2024D03463, Voor,0.8928077220916748,0.1071922704577446, Voor,1.0,0.0
39,2024D03470, Voor,0.5994251370429993,0.4005748331546783, Voor,0.9241721630096436,0.0758279040455818
40,2024D03464, Voor,0.8467252850532532,0.1532747000455856, Voor,1.0,0.0
41,2024D03461, Voor,0.8000694513320923,0.1999305784702301, Voor,1.0,0.0
42,2024D03467, Voor,0.7847533226013184,0.2152466624975204, Voor,1.0,0.0
43,2024D03471, Tegen,0.4395373463630676,0.5604627132415771, Voor,0.9090592861175536,0.090940736234188
44,2024D03477, Voor,0.6259143352508545,0.3740857243537903, Voor,0.9238897562026978,0.0761101990938186
45,2024D03472, Voor,0.5153211951255798,0.4846787750720978, Voor,0.8669345378875732,0.1330655217170715
46,2024D03459, Voor,0.6008660197257996,0.3991339802742004, Voor,1.0,0.0
47,2024D03465, Voor,0.8090391159057617,0.1909608095884323, Voor,1.0,0.0
48,2024D03453, Tegen,0.3773179352283478,0.4674324095249176, Voor,0.8298164010047913,0.1023460403084755
49,2024D03457, Voor,0.7554813027381897,0.2445186972618103, Voor,1.0,0.0
50,2024D03473, I apolog,0.0,0.0, I can,0.0,0.0
51,2024D03469, I can,0.3023539781570434,0.2221597284078598, Voor,0.6453554034233093,0.0
52,2024D03458, Voor,0.8201778531074524,0.1798220723867416, Voor,1.0,0.0
53,2024D03462, Voor,0.516667902469635,0.4833321571350097, Voor,0.9233220815658568,0.076677992939949
54,2024D03454, Tegen,0.2149542272090912,0.3665205240249634, Voor,0.7771696448326111,0.0774999931454658
55,2024D03466, Tegen,0.363676905632019,0.636323094367981, Voor,0.9008828997612,0.0991171225905418
56,2024D03476, Voor,0.8118593096733093,0.1881406605243683, Voor,1.0,0.0
57,2024D03452, Voor,0.7419647574424744,0.2580352425575256, Voor,1.0,0.0
58,2024D03451, Voor,0.7579360604286194,0.242063894867897, Voor,1.0,0.0
59,2024D03282, Voor,0.524075448513031,0.475924551486969, Voor,0.9462416768074036,0.0537583902478218
60,2024D02182, Voor,0.8121257424354553,0.1878742277622223, Voor,1.0,0.0
61,2024D03281, Voor,0.8100440502166748,0.1899559497833252, Voor,1.0,0.0
62,2024D03175, Voor,0.7142887115478516,0.285711258649826, Voor,1.0,0.0
63,2024D03174, Tegen,0.4645561277866363,0.5354438424110413, Voor,0.910930871963501,0.0890691950917244
