,id,llama3_centristisch,llama3_centristisch_voor,llama3_centristisch_tegen,llama3_rechts,llama3_rechts_voor,llama3_rechts_tegen
0,2024D03656, tegen,0.3667230606079101,0.6332769095897675, Tegen,0.1994815021753311,0.8005184531211853
1,2024D03626, tegen,0.0,1.0000000149011612, tegen,0.0,0.9999999701976776
2,2024D03663, voor,0.8532688543200493,0.1467311978340149, tegen,0.3586191833019256,0.6413807570934296
3,2024D03708, tegen,0.163065880537033,0.8369341492652893, tegen,0.0837040022015571,0.9162960350513458
4,2024D03707, Tegen,0.4134198427200317,0.5865801572799683, Tegen,0.0,0.9999999701976776
5,2024D03701, tegen,0.0930128768086433,0.9069871008396148, tegen,0.0,1.0
6,2024D03704, voor,0.999999962747097,0.0, tegen,0.3117855191230774,0.6882145404815674
7,2024D03691, voor,1.0000000074505806,0.0, voor,0.7720361202955246,0.2279639244079589
8,2024D03681, tegen,0.3240759074687958,0.6759240180253983, tegen,0.151010513305664,0.8489894568920135
9,2024D03687, voor,0.4656132757663727,0.5343866795301437, tegen,0.2233525365591049,0.7766475081443787
10,2024D03690, tegen,0.151327759027481,0.8486722409725189, tegen,0.1624325960874557,0.8375673592090607
11,2024D03662, voor,0.8974672853946686,0.1025327965617179, tegen,0.4013140723109245,0.5986858904361725
12,2024D03671, tegen,0.1515700668096542,0.8484299778938293, tegen,0.0951877310872078,0.904812216758728
13,2024D03711, voor,0.9999999403953552,0.0, Tegen,0.349735826253891,0.6502641439437866
14,2024D03645, voor,0.8294105678796768,0.1705894321203231, voor,0.4732953161001205,0.5267046242952347
15,2024D03647, voor,0.3793401420116424,0.6206598877906799, Tegen,0.1037708818912506,0.8962290287017822
16,2024D03651, tegen,0.0,0.9999999403953552, tegen,0.0,1.0
17,2024D03646, voor,0.6694994121789932,0.3305005878210068, Tegen,0.3267412930727005,0.6732586324214935
18,2024D03648, voor,0.5255511701107025,0.474448874592781, Tegen,0.0570138916373252,0.9429860711097716
19,2024D03644, voor,0.6151960492134094,0.3848039507865906, Tegen,0.1988194584846496,0.801180511713028
20,2024D03633, tegen,0.0,1.0000000149011612, tegen,0.0906075239181518,0.909392476081848
21,2024D03641, Tegen,0.1288116127252578,0.8711883723735809, Tegen,0.0,1.0000000298023224
22,2024D03637, voor,0.9383398294448853,0.0616601593792438, Tegen,0.2869920805096626,0.7130079567432404
23,2024D03632, Tegen,0.1134311333298683,0.8865688741207123, Tegen,0.0,1.0000000298023224
24,2024D03629, tegen,0.0,1.0000000298023224, tegen,0.0,1.0
25,2024D03628, tegen,0.0,1.0, tegen,0.0,0.9999999701976776
26,2024D03625, tegen,0.102525383234024,0.8974745869636536, Tegen,0.1248284205794334,0.8751716017723083
27,2024D03627, voor,1.0,0.0, voor,0.4123930260539055,0.5876069366931915
28,2024D03501, voor,0.6395519226789474,0.3604481518268585, Tegen,0.0979583263397216,0.902041643857956
29,2024D03624, tegen,0.0,0.9999999850988388, tegen,0.0,1.0
30,2024D03504, voor,0.4266675412654876,0.5733325034379959, tegen,0.1642841249704361,0.8357158303260803
31,2024D03502, tegen,0.3498384952545166,0.6501614898443222, tegen,0.0662810876965522,0.9337188601493835
32,2024D03509, tegen,0.0,1.0000000298023224, tegen,0.0,1.0000000298023224
33,2024D03623, voor,0.4401565492153168,0.5598434507846832, tegen,0.2314050495624542,0.7685949802398682
34,2024D03507, tegen,0.0,0.9999999701976776, Tegen,0.0,0.9999999701976776
35,2024D03506, tegen,0.0,1.0000000298023224, Tegen,0.0,1.0000000596046448
36,2024D03474, voor,0.6296673566102982,0.3703326731920242, tegen,0.2121336087584495,0.7878664433956146
37,2024D03468, tegen,0.0,0.9999999552965164, tegen,0.0,0.9999999701976776
38,2024D03463, voor,0.7451285719871521,0.2548714391887188, voor,0.3980185091495514,0.601981520652771
39,2024D03470, tegen,0.0,1.0000000298023224, tegen,0.0,1.0
40,2024D03464, voor,0.5858662500977516,0.4141337424516678, Tegen,0.1258620619773864,0.8741379082202911
41,2024D03461, voor,0.8045472353696823,0.1954527646303177, voor,0.5223233699798584,0.4776766896247864
42,2024D03467, tegen,0.0,0.9999999701976776, Tegen,0.0,1.0000000298023224
43,2024D03471, tegen,0.0,0.9999999701976776, Tegen,0.0737666487693786,0.926233321428299
44,2024D03477, tegen,0.0,0.9999999701976776, tegen,0.0,0.9999999701976776
45,2024D03472, tegen,0.3698760867118835,0.6301239281892776, Tegen,0.3110769018530845,0.6889231204986572
46,2024D03459, tegen,0.3048579096794128,0.6951420903205872, Tegen,0.3312590718269348,0.6687409281730652
47,2024D03465, voor,0.7718961834907532,0.2281037047505378, Tegen,0.1766549199819564,0.8233450651168823
48,2024D03453, tegen,0.0,0.9999999701976776, Tegen,0.0,1.0
49,2024D03457, tegen,0.2985656559467315,0.7014342844486237, Tegen,0.3144962415099144,0.6855036914348602
50,2024D03473, tegen,0.0,0.9999999850988388, tegen,0.082148365676403,0.917851597070694
51,2024D03469, tegen,0.0,1.0000000298023224, Tegen,0.0,1.0
52,2024D03458, voor,0.9442894011735916,0.0557106733322143, Tegen,0.4593725800514221,0.5406273603439331
53,2024D03462, tegen,0.0,0.9999999701976776, Tegen,0.0,1.0
54,2024D03454, tegen,0.0,0.9999999701976776, tegen,0.0,1.0
55,2024D03466, tegen,0.1065841987729072,0.893415778875351, Tegen,0.0,1.0000000298023224
56,2024D03476, tegen,0.0,0.9999999403953552, tegen,0.0,1.0
57,2024D03452, voor,0.9153046607971193,0.0846953690052032, voor,0.5590759515762329,0.4409240335226059
58,2024D03451, voor,1.0000000298023224,0.0, voor,0.9999999701976776,0.0
59,2024D03282, tegen,0.0,1.0000000298023224, tegen,0.0,1.0
60,2024D02182, voor,0.930920958518982,0.0690789893269538, voor,0.4796056151390075,0.5203944146633148
61,2024D03281, tegen,0.0,0.9999999552965164, tegen,0.0828863903880119,0.9171135425567628
62,2024D03175, tegen,0.0,1.0000000596046448, Tegen,0.0,1.0000000298023224
63,2024D03174, tegen,0.0,1.0000000298023224, tegen,0.0,1.0
