,id,llama_PVV_vote,llama_PVV_voor,llama_PVV_tegen,llama_GroenLinks-PvdA_vote,llama_GroenLinks-PvdA_voor,llama_GroenLinks-PvdA_tegen,llama_VVD_vote,llama_VVD_voor,llama_VVD_tegen,llama_NSC_vote,llama_NSC_voor,llama_NSC_tegen,llama_D66_vote,llama_D66_voor,llama_D66_tegen,llama_BBB_vote,llama_BBB_voor,llama_BBB_tegen,llama_CDA_vote,llama_CDA_voor,llama_CDA_tegen,llama_SP_vote,llama_hSP_voor,llama_SP_tegen,llama_ChristenUnie_vote,llama_ChristenUnie_voor,llama_ChristenUnie_tegen,llama_DENK_vote,llama_DENK_voor,llama_DENK_tegen,llama_PvdD_vote,llama_PvdD_voor,llama_PvdD_tegen,llama_SGP_vote,llama_SGP_voor,llama_SGP_tegen,llama_FVD_vote,llama_FVD_voor,llama_FVD_tegen,llama_Volt_vote,llama_Volt_voor,llama_Volt_tegen,llama_JA21_vote,llama_JA21_voor,llama_JA21_tegen
0,2024D03656, Tegen,0.32229407131671906,0.6777059659361839, Voor,0.7493733167648315,0.25062668323516846, Tegen,0.6034795343875885,0.3965205252170563, Tegen,0.5238232910633087,0.47617676854133606, Voor,0.7627592384815216,0.23724079132080078, Tegen,0.5447631478309631,0.4552368223667145, Voor,0.631364643573761,0.3686353266239166, Tegen,0.5544401854276657,0.4455597996711731, voor,0.7102832794189453,0.2897166907787323, Tegen,0.34233224391937256,0.6576677337288857, Tegen,0.6083742082118988,0.3916258215904236, Tegen,0.32334163784980774,0.6766583397984505, Tegen,0.2283223792910576,0.7716776132583618, Tegen,0.48556624352931976,0.5144337341189384, Tegen,0.20920079201459885,0.7907991260290146
1,2024D03626, Tegen,0.0,1.0, Tegen,0.09761008620262146,0.9023898839950562, Tegen,0.07135700434446335,0.9286430180072784, Tegen,0.06242172047495842,0.9375782459974289, Tegen,0.30576375126838684,0.6942362189292908, Tegen,0.08424025774002075,0.9157597124576569, Tegen,0.0812101811170578,0.918789878487587, Tegen,0.0,1.0000000447034836, Tegen,0.07341942936182022,0.9265805631875992, Tegen,0.059463877230882645,0.9405360817909241, Tegen,0.0,0.9999999850988388, Tegen,0.0,0.9999999552965164, Tegen,0.0,1.0000000298023224, Tegen,0.21857533603906631,0.7814246416091919, Tegen,0.0,1.0000000298023224
2,2024D03663, voor,0.5956247448921204,0.40437520295381546, Voor,0.9147537052631378,0.08524636924266815, voor,0.8973896503448486,0.10261037945747375, voor,0.8620961904525757,0.13790380954742432, voor,0.9999999701976776,0.0, voor,0.9005570709705353,0.09944292902946472, voor,0.903107613325119,0.09689243137836456, voor,0.739810585975647,0.260189414024353, voor,0.9068813025951385,0.09311868250370026, voor,0.6625380516052246,0.3374619260430336, voor,0.853412002325058,0.14658796787261963, voor,0.5766015648841858,0.423398420214653, voor,0.616948127746582,0.38305190950632095, voor,0.8363583981990814,0.16364160180091858, voor,0.7083114981651306,0.2916884496808052
3,2024D03708, Tegen,0.26908014714717865,0.7309198826551437, Voor,0.7314869463443756,0.2685130536556244, Tegen,0.5095338672399521,0.4904661104083061, Tegen,0.6025940477848053,0.3974060118198395, Voor,0.775567889213562,0.22443212568759918, Voor,0.6701567471027374,0.3298431932926178, Voor,0.634406715631485,0.3655932545661926, Tegen,0.5791403353214264,0.4208596348762512, Tegen,0.5811557471752167,0.41884423047304153, Tegen,0.4264395087957382,0.5735604912042618, Tegen,0.4955126643180847,0.5044873356819153, Tegen,0.266565203666687,0.7334347814321518, Tegen,0.22026991844177246,0.7797301113605499, voor,0.5962487906217575,0.40375126153230667, Tegen,0.29712342470884323,0.7028765678405762
4,2024D03707, Voor,0.8096838444471359,0.19031618535518646, Voor,1.0000000298023224,0.0, Voor,0.9999999850988388,0.0, Voor,0.9999999850988388,0.0, Voor,1.0000000447034836,0.0, Voor,0.9999999701976776,0.0, Voor,0.9999999478459358,0.0, Voor,0.9999999478459358,0.0, Voor,0.9999999850988388,0.0, Voor,0.8789841681718826,0.12101583182811737, Voor,0.9999999701976776,0.0, Voor,0.8315349221229553,0.1684650331735611, Voor,0.7782187014818192,0.22178131341934204, Voor,1.0,0.0, Voor,0.9001792669296265,0.09982071071863174
5,2024D03701, Tegen,0.06849432736635208,0.9315056502819061, Tegen,0.4460877478122711,0.5539122074842453, Tegen,0.29001637548208237,0.7099836021661758, Tegen,0.1992228627204895,0.8007771298289299, Tegen,0.5834180414676666,0.416581928730011, Tegen,0.08207103610038757,0.9179289489984512, Tegen,0.24720542132854462,0.7527945339679718, Tegen,0.1119689792394638,0.8880309909582138, Tegen,0.3534613251686096,0.6465386599302292, Tegen,0.11346274614334106,0.8865372240543365, Tegen,0.2593626379966736,0.7406373918056488, Tegen,0.05882124602794647,0.9411787539720535, Tegen,0.0,1.0000000298023224, Tegen,0.18109098076820374,0.8189090043306351, Tegen,0.07967562228441238,0.9203244149684906
6,2024D03704, Voor,0.9159414768218994,0.08405850827693939, Voor,1.0000000298023224,0.0, voor,1.0000000298023224,0.0, Voor,1.0,0.0, Voor,0.9999999403953552,0.0, Voor,1.0000000298023224,0.0, Voor,1.0000000298023224,0.0, Voor,0.9999999701976776,0.0, voor,1.0000000298023224,0.0, Voor,0.9254361093044281,0.07456391304731369, Voor,0.9999999701976776,0.0, Voor,0.9999999701976776,0.0, Voor,0.926154226064682,0.0738457590341568, Voor,1.0000000298023224,0.0, Voor,0.906635046005249,0.09336494654417038
7,2024D03691, voor,1.0,0.0, Voor,1.0000000298023224,0.0, voor,1.0,0.0, Voor,0.9999999701976776,0.0, voor,1.0000000596046448,0.0, Voor,1.0000000596046448,0.0, Voor,1.0,0.0, Voor,1.0000000298023224,0.0, voor,1.0000000298023224,0.0, voor,0.9147555530071259,0.08524439483880997, Voor,0.9999999701976776,0.0, Voor,1.0,0.0, Voor,1.0000000596046448,0.0, voor,1.0000000298023224,0.0, voor,0.9097648561000824,0.090235136449337
8,2024D03681, Tegen,0.56793212890625,0.4320679008960724, Voor,0.7769209444522858,0.22307908535003662, Voor,0.7802699208259583,0.21973004937171936, Voor,0.7002407610416412,0.29975923895835876, Voor,0.8781608939170837,0.12183909863233566, Voor,0.7446528673171997,0.25534719228744507, Voor,0.7927711308002472,0.2072288542985916, Voor,0.7158210426568985,0.28417888283729553, Voor,0.7736058533191681,0.22639408707618713, Tegen,0.6023009121417999,0.39769917726516724, Voor,0.6310157626867294,0.3689842224121094, Tegen,0.5916764736175537,0.4083234965801239, Tegen,0.4902310073375702,0.5097689628601074, Voor,0.7978820502758026,0.2021179497241974, Tegen,0.42223504185676575,0.5777648836374283
9,2024D03687, Tegen,0.3024725914001465,0.6975273936986923, Voor,0.592900350689888,0.4070996567606926, Voor,0.6118609011173248,0.38813911378383636, Tegen,0.5780337601900101,0.42196619510650635, Voor,0.7974783480167389,0.20252162218093872, Voor,0.6256991028785706,0.37430090457201004, Voor,0.6715990155935287,0.32840099930763245, Tegen,0.45339231193065643,0.5466076657176018, Tegen,0.5472980439662933,0.45270195603370667, Tegen,0.37745580077171326,0.6225441992282867, Tegen,0.4418848007917404,0.558115191757679, Tegen,0.30361732840538025,0.696382611989975, Tegen,0.29165510833263397,0.7083448320627213, Tegen,0.5849656462669373,0.41503430157899857, Tegen,0.35987380146980286,0.6401261687278748
